日期,股票,代码,操作,数量,价格,金额,手续费,盈亏,原因
2024-01-02,海天味业,603288,买入,11300,35.38,399801.01,119.94,,金叉 MA10=34.26 > MA20=34.12 | MA30=34.69
2024-01-15,海天味业,603288,卖出,11300,32.48,367079.37,477.2,-33198.84,死叉 MA10=33.46 < MA20=33.73
2024-01-22,药明康德,603259,买入,5400,71.01,383463.4,115.04,,金叉 MA10=68.46 > MA20=67.94 | MA30=68.73
2024-01-25,中国平安,601318,买入,9300,37.43,348142.9,104.44,,金叉 MA10=35.52 > MA20=35.48 | MA30=35.41
2024-01-25,隆基绿能,601012,买入,10500,22.07,231777.63,69.53,,MACD金叉 DIF=0.0861 | MA30=21.40
2024-01-26,药明康德,603259,卖出,5400,62.65,338333.98,439.83,-45569.25,移动止盈 从最高70.87回落11.4%
2024-01-29,隆基绿能,601012,卖出,10500,20.12,211256.64,274.63,-20795.62,移动止盈 从最高22.03回落8.5%
2024-02-07,贵州茅台,600519,买入,200,1594.81,318962.65,95.69,,金叉 MA10=1522.45 > MA20=1518.39 | MA30=1531.83
2024-02-20,宁德时代,300750,买入,900,150.55,135495.45,40.65,,金叉 MA10=145.99 > MA20=145.77 | MA30=145.43
2024-02-22,中国平安,601318,卖出,2700,39.59,106894.78,138.96,5682.07,止盈L1 +6.2%
2024-02-26,比亚迪,002594,买入,2000,60.64,121282.08,36.38,,金叉 MA10=58.63 > MA20=58.55 | MA30=59.88
2024-03-11,贵州茅台,600519,卖出,200,1573.13,314625.49,409.01,-4746.18,死叉 MA10=1567.70 < MA20=1571.46
2024-03-11,宁德时代,300750,卖出,200,171.28,34255.35,44.53,4100.72,止盈L1 +14.2%
2024-03-11,比亚迪,002594,卖出,600,64.54,38724.4,50.34,2289.43,止盈L1 +6.9%
2024-03-12,宁德时代,300750,卖出,200,176.0,35199.46,45.76,5043.6,止盈L2 +17.4%
2024-03-12,中国平安,601318,卖出,6600,39.69,261957.04,340.54,14547.34,死叉 MA10=38.95 < MA20=38.96
2024-03-12,比亚迪,002594,卖出,400,66.61,26642.61,34.64,2351.56,止盈L2 +10.3%
2024-03-13,海天味业,603288,买入,9500,39.67,376857.21,113.06,,MACD金叉 DIF=1.0917 | MA30=36.37
2024-03-15,贵州茅台,600519,买入,100,1600.88,160087.54,48.03,,金叉 MA10=1582.16 > MA20=1580.00 | MA30=1562.93
2024-03-27,招商银行,600036,买入,5300,28.52,151139.68,45.34,,MACD金叉 DIF=0.1411 | MA30=28.01
2024-03-28,海天味业,603288,卖出,9500,37.47,356011.55,462.82,-21308.48,死叉 MA10=38.35 < MA20=38.38
2024-04-02,宁德时代,300750,卖出,100,189.13,18913.1,24.59,3833.46,止盈L3 +26.1%
2024-04-03,贵州茅台,600519,卖出,100,1592.28,159227.91,207.0,-1066.63,死叉 MA10=1587.42 < MA20=1588.23
2024-04-09,比亚迪,002594,卖出,1000,68.87,68871.98,89.53,8141.41,死叉 MA10=68.78 < MA20=68.90
2024-04-23,贵州茅台,600519,买入,200,1577.38,315475.69,94.64,,MACD金叉 DIF=-5.9021 | MA30=1573.51
2024-04-24,宁德时代,300750,卖出,400,179.56,71824.06,93.37,11510.49,死叉 MA10=182.94 < MA20=183.39
2024-04-25,招商银行,600036,卖出,1500,30.25,45374.07,58.99,2539.7,止盈L1 +6.5%
2024-04-26,比亚迪,002594,买入,4200,71.52,300395.59,90.12,,金叉 MA10=68.70 > MA20=68.57 | MA30=69.11
2024-04-29,宁德时代,300750,买入,600,199.33,119596.72,35.88,,金叉 MA10=185.13 > MA20=184.94 | MA30=182.69
2024-04-29,中国平安,601318,买入,2200,38.28,84208.08,25.26,,金叉 MA10=36.44 > MA20=36.29 | MA30=36.72
2024-05-10,招商银行,600036,卖出,1100,31.33,34459.94,44.8,3046.53,止盈L2 +10.3%
2024-05-17,中国平安,601318,卖出,600,40.95,24568.76,31.94,1570.98,止盈L1 +7.4%
2024-05-22,贵州茅台,600519,卖出,200,1576.12,315224.29,409.79,-661.2,死叉 MA10=1593.89 < MA20=1595.40
2024-05-24,比亚迪,002594,卖出,4200,67.97,285489.88,371.14,-15276.85,死叉 MA10=71.28 < MA20=71.66
2024-05-27,宁德时代,300750,卖出,600,194.06,116436.66,151.37,-3311.42,死叉 MA10=195.88 < MA20=196.08
2024-05-29,隆基绿能,601012,买入,19700,18.81,370508.54,111.15,,金叉 MA10=18.50 > MA20=18.49 | MA30=18.46
2024-05-31,招商银行,600036,卖出,2700,30.15,81403.87,105.83,4302.36,死叉 MA10=31.02 < MA20=31.12
2024-05-31,比亚迪,002594,买入,3200,74.67,238940.93,71.68,,MACD金叉 DIF=0.5441 | MA30=71.07
2024-06-05,中国平安,601318,卖出,1600,39.03,62450.85,81.19,1127.42,死叉 MA10=39.55 < MA20=39.59
2024-06-05,隆基绿能,601012,卖出,19700,18.02,355070.44,461.59,-15899.69,死叉 MA10=18.44 < MA20=18.48
